연도,회담분야,회담명,개최회담,개최국가,개최지역,개최시설,회담시작일자,회담종료일자,회담일수
1992,정치,남북고위급회담 이인모문제와 이산가족면회소설치문제 협의 대표접촉,남북고위급회담 이인모문제와 이산가족면회소설치문제 협의 제2차 대표접촉,중립,판문점 남측,평화의집,1992-10-05,1992-10-05,1
1992,정치,남북고위급회담 남북군사직통전화 설치·운영을 위한 통신실무자접촉,남북고위급회담 남북군사직통전화 설치·운영을 위한 통신실무자접촉,중립,판문점 중립,중감위회의실,1992-10-28,1992-10-28,1
1992,인도,이산가족 노부모방문단 및 예술단 교환 관련 적십자실무대표접촉,이산가족 노부모방문단 및 예술단 교환 관련 제1차 적십자실무대표접촉,중립,판문점 중립,중감위회의실,1992-06-05,1992-06-05,1
1992,인도,이산가족 노부모방문단 및 예술단 교환 관련 적십자실무대표접촉,이산가족 노부모방문단 및 예술단 교환 관련 제2차 적십자실무대표접촉,중립,판문점 중립,중감위회의실,1992-06-12,1992-06-12,1
1992,인도,이산가족 노부모방문단 및 예술단 교환 관련 적십자실무대표접촉,이산가족 노부모방문단 및 예술단 교환 관련 제3차 적십자실무대표접촉,중립,판문점 중립,중감위회의실,1992-06-22,1992-06-22,1
1992,인도,이산가족 노부모방문단 및 예술단 교환 관련 적십자실무대표접촉,이산가족 노부모방문단 및 예술단 교환 관련 제4차 적십자실무대표접촉,중립,판문점 중립,중감위회의실,1992-07-08,1992-07-08,1
1992,인도,이산가족 노부모방문단 및 예술단 교환 관련 적십자실무대표접촉,이산가족 노부모방문단 및 예술단 교환 관련 제5차 적십자실무대표접촉,중립,판문점 중립,중감위회의실,1992-07-14,1992-07-14,1
1992,인도,이산가족 노부모방문단 및 예술단 교환 관련 적십자실무대표접촉,이산가족 노부모방문단 및 예술단 교환 관련 제6차 적십자실무대표접촉,중립,판문점 중립,중감위회의실,1992-07-20,1992-07-20,1
1992,인도,이산가족 노부모방문단 및 예술단 교환 관련 적십자실무대표접촉,이산가족 노부모방문단 및 예술단 교환 관련 제7차 적십자실무대표접촉,중립,판문점 중립,중감위회의실,1992-07-25,1992-07-25,1
1992,인도,이산가족 노부모방문단 및 예술단 교환 관련 적십자실무대표접촉,이산가족 노부모방문단 및 예술단 교환 관련 제8차 적십자실무대표접촉,중립,판문점 중립,중감위회의실,1992-08-07,1992-08-07,1
1991,정치,제4차 남북고위급회담 준비를 위한 실무대표접촉,제4차 남북고위급회담 준비를 위한 제1차 실무대표접촉,중립,판문점 남측,평화의집,1991-08-05,1991-08-05,1
1991,정치,제4차 남북고위급회담 준비를 위한 실무대표접촉,제4차 남북고위급회담 준비를 위한 제2차 실무대표접촉,중립,판문점 북측,통일각,1991-08-10,1991-08-10,1
1991,정치,제4차 남북고위급회담 준비를 위한 실무대표접촉,제4차 남북고위급회담 준비를 위한 제3차 실무대표접촉,중립,판문점 남측,평화의집,1991-08-16,1991-08-16,1
1991,정치,남북고위급회담 본회담,제4차 남북고위급회담 본회담,북측,평양,인민문화궁전,1991-10-22,1991-10-25,4
1991,정치,남북고위급회담 본회담,제5차 남북고위급회담 본회담,남측,서울,쉐라톤워커힐호텔,1991-12-10,1991-12-13,4
1991,정치,남북고위급회담 단일합의서 문안정리를 위한 대표접촉,남북고위급회담 단일합의서 문안정리를 위한 제1차 대표접촉,중립,판문점 북측,통일각,1991-11-11,1991-11-11,1
1991,정치,남북고위급회담 단일합의서 문안정리를 위한 대표접촉,남북고위급회담 단일합의서 문안정리를 위한 제2차 대표접촉,중립,판문점 남측,평화의집,1991-11-15,1991-11-15,1
1991,정치,남북고위급회담 단일합의서 문안정리를 위한 대표접촉,남북고위급회담 단일합의서 문안정리를 위한 제3차 대표접촉,중립,판문점 북측,통일각,1991-11-20,1991-11-20,1
1991,정치,남북고위급회담 단일합의서 문안정리를 위한 대표접촉,남북고위급회담 단일합의서 문안정리를 위한 제4차 대표접촉,중립,판문점 남측,평화의집,1991-11-26,1991-11-26,1
1991,정치,남북고위급회담 핵문제협의를 위한 대표접촉,남북고위급회담 핵문제협의를 위한 제1차 대표접촉,중립,판문점 북측,통일각,1991-12-26,1991-12-26,1
1991,정치,남북고위급회담 핵문제협의를 위한 대표접촉,남북고위급회담 핵문제협의를 위한 제2차 대표접촉,중립,판문점 남측,평화의집,1991-12-28,1991-12-28,1
1991,정치,남북고위급회담 핵문제협의를 위한 대표접촉,남북고위급회담 핵문제협의를 위한 제3차 대표접촉,중립,판문점 북측,통일각,1991-12-31,1991-12-31,1
1991,사회문화,국제경기 단일팀 구성·참가위한 남북체육회담,국제경기 단일팀 구성·참가위한 제2차 남북체육회담,중립,판문점 남측,평화의집,1991-01-15,1991-01-15,1
1991,사회문화,국제경기 단일팀 구성·참가위한 남북체육회담,국제경기 단일팀 구성·참가위한 제3차 남북체육회담,중립,판문점 북측,통일각,1991-01-30,1991-01-30,1
1991,사회문화,국제경기 단일팀 구성·참가위한 남북체육회담,국제경기 단일팀 구성·참가위한 제4차 남북체육회담,중립,판문점 남측,평화의집,1991-02-12,1991-02-12,1
1991,사회문화,국제경기 단일팀 구성·참가위한 탁구단일팀 실무위원회,국제경기 단일팀 구성·참가위한 제1차 탁구단일팀 실무위원회,중립,판문점 북측,통일각,1991-02-21,1991-02-21,1
1991,사회문화,국제경기 단일팀 구성·참가위한 탁구단일팀 실무위원회,국제경기 단일팀 구성·참가위한 제2차 탁구단일팀 실무위원회,중립,판문점 남측,평화의집,1991-02-27,1991-02-27,1
1991,사회문화,국제경기 단일팀 구성·참가위한 축구단일팀 실무위원회,국제경기 단일팀 구성·참가위한 제1차 축구단일팀 실무위원회,중립,판문점 남측,평화의집,1991-02-22,1991-02-22,1
1991,사회문화,국제경기 단일팀 구성·참가위한 축구단일팀 실무위원회,국제경기 단일팀 구성·참가위한 제2차 축구단일팀 실무위원회,중립,판문점 북측,통일각,1991-02-26,1991-02-26,1
1990,정치,남북국회회담 준비접촉,남북국회회담 제10차 준비접촉,중립,판문점 남측,평화의집,1990-01-24,1990-01-24,1
1990,정치,남북고위급회담 예비회담,남북고위급회담 제6차 예비회담,중립,판문점 북측,통일각,1990-01-31,1990-01-31,1
1990,정치,남북고위급회담 예비회담,남북고위급회담 제7차 예비회담,중립,판문점 남측,평화의집,1990-07-03,1990-07-03,1
1990,정치,남북고위급회담 예비회담,남북고위급회담 제8차 예비회담,중립,판문점 북측,통일각,1990-07-26,1990-07-26,1
